Soy el rank 0, empiezo en 0 y mi tamaño es 290
Soy el rank 3, empiezo en 870 y mi tamaño es 290
Soy el rank 2, empiezo en 580 y mi tamaño es 290
El tamaño total es 1160
Soy el rank 1, empiezo en 290 y mi tamaño es 290
5 1 0 Valor de food_to_share: 0.000000, posiciones: 21.499332 (row) , 10.013700 (col) 
5 0 1 Valor de food_to_share: 0.000000, posiciones: 0.812296 (row) , 20.973186 (col) 
5 0 2 Valor de food_to_share: 0.000000, posiciones: 0.812296 (row) , 20.973186 (col) 
5 1 2 Valor de food_to_share: 0.000000, posiciones: 21.499332 (row) , 10.013700 (col) 
5 2 2 Valor de food_to_share: 0.000000, posiciones: 23.937632 (row) , 33.144459 (col) 
5 3 2 Valor de food_to_share: 0.000000, posiciones: 5.170047 (row) , 22.028843 (col) 
5 4 2 Valor de food_to_share: 0.000000, posiciones: 11.234366 (row) , 11.483588 (col) 
5 5 2 Valor de food_to_share: 0.000000, posiciones: 8.484657 (row) , 34.533001 (col) 
5 0 3 Valor de food_to_share: 0.000000, posiciones: 0.812296 (row) , 20.973186 (col) 
5 1 3 Valor de food_to_share: 0.000000, posiciones: 21.499332 (row) , 10.013700 (col) 
5 2 3 Valor de food_to_share: 0.000000, posiciones: 23.937632 (row) , 33.144459 (col) 
5 3 3 Valor de food_to_share: 0.000000, posiciones: 5.170047 (row) , 22.028843 (col) 
5 4 3 Valor de food_to_share: 0.000000, posiciones: 11.234366 (row) , 11.483588 (col) 
5 5 3 Valor de food_to_share: 0.000000, posiciones: 8.484657 (row) , 34.533001 (col) 
5 6 3 Valor de food_to_share: 0.000000, posiciones: 20.433268 (row) , 34.038712 (col) 
5 2 0 Valor de food_to_share: 0.000000, posiciones: 23.937632 (row) , 33.144459 (col) 
5 3 0 Valor de food_to_share: 0.000000, posiciones: 5.170047 (row) , 22.028843 (col) 
5 4 0 Valor de food_to_share: 0.000000, posiciones: 11.234366 (row) , 11.483588 (col) 
5 5 0 Valor de food_to_share: 0.000000, posiciones: 8.484657 (row) , 34.533001 (col) 
5 6 0 Valor de food_to_share: 0.000000, posiciones: 20.433268 (row) , 34.038712 (col) 
5 7 0 Valor de food_to_share: 0.000000, posiciones: 17.340904 (row) , 6.600285 (col) 
5 6 2 Valor de food_to_share: 0.000000, posiciones: 20.433268 (row) , 34.038712 (col) 
5 7 2 Valor de food_to_share: 0.000000, posiciones: 17.340904 (row) , 6.600285 (col) 
5 7 3 Valor de food_to_share: 0.000000, posiciones: 17.340904 (row) , 6.600285 (col) 
5 1 1 Valor de food_to_share: 0.000000, posiciones: 21.499332 (row) , 10.013700 (col) 
5 2 1 Valor de food_to_share: 0.000000, posiciones: 23.937632 (row) , 33.144459 (col) 
5 3 1 Valor de food_to_share: 0.000000, posiciones: 5.170047 (row) , 22.028843 (col) 
5 4 1 Valor de food_to_share: 0.000000, posiciones: 11.234366 (row) , 11.483588 (col) 
5 5 1 Valor de food_to_share: 0.000000, posiciones: 8.484657 (row) , 34.533001 (col) 
5 6 1 Valor de food_to_share: 0.000000, posiciones: 20.433268 (row) , 34.038712 (col) 
5 7 1 Valor de food_to_share: 0.000000, posiciones: 17.340904 (row) , 6.600285 (col) 
6 0 0 Valor de food_to_share: 0.000000, posiciones: 1.059770 (row) , 21.942081 (col) 
